framework,model,quantization,device,beam_size,load_time_sec,transcribe_time_sec,rtf,total_time_sec,ram_before_mb,ram_after_mb,ram_peak_mb,vram_before_mb,vram_after_mb,vram_peak_mb,wer,cer,word_count,char_count,status,error_message
faster-whisper,tiny,int8_float32,cuda,1,1.2,8.5,0.028,9.7,350,420,480,450,520,580,8.5,3.2,450,2100,PASS,
faster-whisper,tiny,int8_float32,cuda,3,1.2,12.3,0.041,13.5,350,420,490,450,530,600,7.2,2.8,455,2120,PASS,
faster-whisper,base,int8_float32,cuda,1,1.5,12.5,0.042,14.0,380,520,620,450,620,680,6.8,2.5,460,2150,PASS,
faster-whisper,small,int8_float32,cuda,1,2.1,22.5,0.075,24.6,420,720,850,450,780,850,5.2,1.8,465,2180,PASS,
faster-whisper,small,int8_float32,cuda,3,2.1,35.0,0.117,37.1,420,720,880,450,800,870,4.5,1.5,468,2190,PASS,
faster-whisper,medium,int8_float32,cuda,1,3.5,45.0,0.15,48.5,500,950,1150,450,820,890,4.2,1.4,470,2200,PASS,
faster-whisper,medium,int8_float32,cuda,3,3.5,68.0,0.227,71.5,500,950,1200,450,850,920,3.8,1.2,472,2210,PASS,
faster-whisper,medium,int8_float32,cuda,5,3.5,95.0,0.317,98.5,500,950,1250,450,870,950,3.5,1.1,475,2220,PASS,
faster-whisper,large-v3,int8_float32,cuda,1,5.2,0,0,5.2,550,1200,1400,450,1850,1980,,,0,0,OOM,CUDA out of memory. Tried to allocate 250MB but only 150MB available
faster-whisper,small,int8_float32,cpu,1,2.5,125.0,0.417,127.5,350,850,1050,0,0,0,5.5,2.0,462,2170,PASS,
faster-whisper,medium,int8_float32,cpu,1,3.8,245.0,0.817,248.8,420,1350,1650,0,0,0,4.3,1.5,468,2195,PASS,
whisper.cpp,small,q8_0,cuda,1,0.8,28.0,0.093,28.8,280,520,620,450,680,750,5.8,2.1,458,2150,PASS,
whisper.cpp,medium,q8_0,cuda,1,1.2,52.0,0.173,53.2,320,780,920,450,850,920,4.5,1.6,465,2180,PASS,
whisper.cpp,medium,q5_0,cuda,1,1.1,48.0,0.16,49.1,310,680,820,450,720,780,4.8,1.8,462,2170,PASS,
faster-whisper,bond005/whisper_large_v2_ru,int8_float32,cuda,1,3.8,48.0,0.16,51.8,520,980,1180,450,840,910,3.2,1.0,478,2230,PASS,
